,Attained_Age,Observation_Year,Death_Claim_Amount,Amount_Exposed,qx
272,52,2012,229781433,232924104669.85477,0.0009865077439095058
273,52,2013,247497608,264622327396.3968,0.0009352861885658483
274,52,2014,304518546,287501574265.87585,0.0010591891427988746
275,52,2015,288906551,315593344030.4418,0.0009154393033464368
276,52,2016,389793495,339269596324.895,0.0011489196179746144
277,52,2017,343708301,347627400473.8862,0.0009887261491224692
278,52,2018,322253028,367335882645.08484,0.0008772707574319841
279,52,2019,373886804,383706537586.9018,0.0009744082192379174
280,53,2012,290940365,216568627766.2775,0.0013434095602895219
281,53,2013,289208890,244682941588.48276,0.0011819740604819223
282,53,2014,283554522,270012898075.01678,0.0010501517669027091
283,53,2015,348174955,297749006954.8618,0.0011693572333317057
284,53,2016,341751475,319794018631.7267,0.001068661247831403
285,53,2017,376115223,335478634456.4366,0.00112113018347474
286,53,2018,376413523,360486721080.0134,0.0010441813830819346
287,53,2019,408165097,368270743476.73193,0.001108328870077046
288,54,2012,213613431,203690908758.45282,0.0010487136235094018
289,54,2013,280594039,227214372094.95157,0.0012349308558823973
290,54,2014,292307821,249316871342.33987,0.0011724349797356023
291,54,2015,346630690,279199755842.6381,0.0012415150183561305
292,54,2016,353219439,301331240082.5363,0.0011721965465752945
293,54,2017,401509242,316181475241.3302,0.0012698695952808182
294,54,2018,392965657,349261071760.4526,0.0011251344302966666
295,54,2019,468283655,361361668458.5315,0.0012958863539610274
296,55,2012,216451585,188719669537.53644,0.0011469476686262832
297,55,2013,283674033,212786402304.7017,0.0013331398525822625
298,55,2014,283271739,231158004222.87152,0.0012254463779107683
299,55,2015,336577760,257983418531.67896,0.001304648810050054
300,55,2016,340204009,282011097943.0058,0.0012063497198566099
301,55,2017,375709554,297609907790.50977,0.0012624228702240157
302,55,2018,454569085,327572143721.0368,0.0013876915168559475
303,55,2019,454603311,349443739694.469,0.0013009341972973266
304,56,2012,236223508,171799135829.8425,0.0013749982318535423
305,56,2013,272263336,195905824722.66714,0.0013897664165188957
306,56,2014,301508803,216446407710.635,0.001392995181528187
307,56,2015,289824815,237823020258.9939,0.0012186575323296085
308,56,2016,628460844,259191001204.54224,0.002424701633464682
309,56,2017,440557297,277661182576.6057,0.001586672263338257
310,56,2018,407960310,305981742994.9625,0.0013332831756786103
311,56,2019,478450498,325617285116.1008,0.0014693645573188952
312,57,2012,221644871,157358740158.3027,0.00140853231779198
313,57,2013,255618200,177666068526.61188,0.001438756438524512
314,57,2014,324070663,198887666452.8842,0.001629415583076245
315,57,2015,356469911,222084512024.61484,0.001605109279122042
316,57,2016,389666312,238830193344.80603,0.0016315621845912401
317,57,2017,396479319,254187064762.0052,0.0015597934512176013
318,57,2018,402436435,284800591266.7024,0.001413046346603744
319,57,2019,392857077,303497137543.14404,0.0012944342084417612
320,58,2012,266360019,142093876646.76852,0.0018745355203598601
321,58,2013,306813648,161975303305.02557,0.0018942001758269315
322,58,2014,332501934,178910053257.09818,0.0018584865855592054
323,58,2015,379809725,202851033246.92557,0.0018723578525610316
324,58,2016,418606349,222608181558.6588,0.0018804625511470445
325,58,2017,464344563,233637588065.9787,0.0019874565854055564
326,58,2018,460557187,259972496756.41467,0.0017715611949195007
327,58,2019,523238335,282054954079.808,0.0018550935816995036
328,59,2012,235917046,128835508126.802,0.0018311492649045681
329,59,2013,241103744,146053205898.98895,0.0016507939179832068
330,59,2014,316884046,163198913923.78156,0.0019417043801406282
331,59,2015,358708271,182322822185.41315,0.001967434831801867
332,59,2016,389140632,202274864588.13452,0.0019238209986809556
333,59,2017,399927093,216945132187.724,0.001843448105827701
334,59,2018,421492953,238546391600.01486,0.0017669223590971047
335,59,2019,469462040,256482583358.13666,0.0018303856497907767
336,60,2012,256369073,116615547000.35504,0.002198412472388604
337,60,2013,217740318,132162020214.32648,0.0016475256480408791
338,60,2014,300889578,146511747682.80246,0.002053689091549335
339,60,2015,319054836,166123491829.25635,0.0019205883074497872
340,60,2016,326782463,181859269016.48563,0.0017968974843420107
341,60,2017,424425117,197621162724.92957,0.0021476703767336932
342,60,2018,488347147,220597824084.88025,0.0022137441700789255
343,60,2019,590046015,235217847968.9694,0.0025085086871377235
344,61,2012,226029543,103344305064.93323,0.0021871504468289884
345,61,2013,300580263,118391667377.85986,0.0025388633309865083
346,61,2014,284319344,131581669944.72354,0.0021607823044003044
347,61,2015,316496303,147914242047.58456,0.002139728390036856
348,61,2016,384353394,164793054746.07938,0.00233233976147981
349,61,2017,407301654,176345300835.85303,0.002309682492640546
350,61,2018,452760769,198546649455.16687,0.0022803747645322838
351,61,2019,498886908,215626870015.4208,0.0023136583486293777
352,62,2012,257799479,92559577209.93738,0.002785227490995088
353,62,2013,256624645,104528561824.20047,0.0024550672134148336
354,62,2014,266362672,117596292710.58163,0.0022650601125288024
355,62,2015,403280847,132654306005.89066,0.0030400886269164296
356,62,2016,311087283,145898162329.32895,0.0021322220789717523
357,62,2017,441880284,159117070447.1937,0.0027770765434413096
358,62,2018,445027391,177624059009.99524,0.0025054454530563197
359,62,2019,461527184,193088602690.3625,0.0023902352472875187
360,63,2012,246946858,84852694880.97256,0.00291030070814375
361,63,2013,228404608,92711089294.02228,0.0024636169172345904
362,63,2014,294083925,103790491406.52032,0.0028334380251476975
363,63,2015,305694651,118139976308.73532,0.002587563164911493
364,63,2016,386658016,130212996191.67834,0.0029694272254577807
365,63,2017,377702844,140258666437.6312,0.0026929020045114507
366,63,2018,453139781,158841698824.90454,0.0028527759672194648
367,63,2019,493087510,172178742963.1811,0.002863811766272695
368,64,2012,242895236,80935240706.26007,0.0030011059938839825
369,64,2013,250598315,84554029906.4013,0.0029637654796276958
370,64,2014,394117607,91510683602.62311,0.004306793387222635
371,64,2015,273041101,103229250281.74622,0.002644997423257284
372,64,2016,366831714,115752766708.39694,0.003169096725991166
373,64,2017,355757344,125221783300.58197,0.0028410180291558473
374,64,2018,469300958,139366847349.96152,0.003367378734065405
375,64,2019,527731247,153011701340.39755,0.0034489600623809967
376,65,2012,225116648,68916935538.49805,0.0032664924265857183
377,65,2013,251420981,80122806271.6839,0.003137945270507261
378,65,2014,277443584,82925805835.034,0.0033456845092578805
379,65,2015,287209584,90511394463.85623,0.0031731870412701566
380,65,2016,305571939,100627192080.83908,0.0030366736135747294
381,65,2017,385622729,110034937936.51648,0.003504548066564831
382,65,2018,455935225,123183159528.6453,0.0037012788659149124
383,65,2019,444696368,133216446685.14856,0.003338149147987869
384,66,2012,179956762,50629458404.01611,0.0035543884464251975
385,66,2013,252872829,67852223624.54962,0.003726817125393486
386,66,2014,257462634,78202008159.66858,0.003292276503620302
387,66,2015,251264198,81988737462.20386,0.0030646184558681703
388,66,2016,324312409,88002923781.53424,0.003685245842571095
389,66,2017,344728665,95580575910.54965,0.003606681187217567
390,66,2018,368410556,108412377187.68372,0.003398233352656837
391,66,2019,453632288,117319711119.49475,0.003866633182704973
392,67,2012,229102414,44102513924.21091,0.005194769948799447
